,review_text,review_length,feedback,play_hours,date_posted
0,10 out of 10 game but MJ is the main reason why they haven't won game of the year yet.,67,1,44.8,2025-07-06
1,best game ever,12,1,16.1,2025-07-06
2,"this game is very good, is an anventure game i like it",43,1,5.0,2025-07-06
3,not well optimized for now,22,0,2.5,2025-07-06
4,cause,5,1,7.2,2025-07-06
5,"Product refunded

♥♥♥♥♥♥ port",27,0,0.5,2025-07-06
6,Super AMAZING Spider-Man Game,26,1,4.3,2025-07-05
7,"I PLAYED THIS GAME
BUT I HAVE SOME ERROR ISSUES OFTENLY IT JUST CLOSES",58,1,10.5,2025-07-05
8,"Terrible Performance, on top of characters doing glitch flips on my screen......",69,0,2.4,2025-07-05
9,"don't buy it full price, it IS still kinda buggy and unoptimised (I had to use a slightly older driver version on a 9070xt to stop it crashing every 5 min lol), but ignore all the people who hype their mid range PC up as if it's a 5090 with 128GB of RAM and a 9800X3D who then reveal they have a xx60 card and likely the 8GB version. If that *is* your PC, RIP.

also there are multiple spider-gwen suit mods, it's peak.",337,1,19.7,2025-07-06
10,"I was able to play as and I sent Miles to the backrooms in a single playthrough. Great PC port, Sony. LMAO",85,1,21.3,2025-07-06
11,very good game,12,1,17.6,2025-07-06
12,Good game. Buy. Yes. okay bye now.,28,1,17.7,2025-07-06
13,"Incredible game, you could almost say it was ""Amazing"" lol",49,1,32.4,2025-07-06
14,good,4,1,9.1,2025-07-06
15,"Amazing game, but insanely buggy on PC. Had peter loose his head for a big in a few cut scenes, tons of artifacts in cut scenes, and cap got stuck in body.

Outside of the bugs, absolutely amazing game, and amazing story!",181,1,18.3,2025-07-06
16,"my pc is the bare minimum to run this game, yes its probably only running at 40 fps and yes it did lag but thats cause im still on an i3 and too broke to upgrade everything right now and it still runs pretty okay
fun story, alot of things i didnt expect, way too pricey for a game that feels like just the bare minimum of content when we couldve had more to do.
8/10",293,1,41.7,2025-07-06
17,amazing game played on 3070ti had to play on medium graphics at 1080p and lemme tell you this is def a game that's gonna be nostalgic when i play it again 10 years later the story fire acting fire combat can get clunky sometimes but this game is amazing,205,1,22.1,2025-07-06
18,"I am so upset right now. The game won't work. My pc surpasses the recommended hardware (rtx 4060, ryzen 7 5800 something, 16gb ddr4 ram, 2 terabyte sdd harddrive) yet the game still can't get passed the first cinematic on low settings. I just got done playing through spider man remastered and miles morales really looking forward to playing spiderman 2 just for the game to not even allow me to get passed the first cinematic. I was absolutely praising how much of a masterpiece both spidermans were and now I can't even experience the newest one. If anyone has any recommendations on how to fix this game to run on my pc please tell me. Until then this game sucks.",546,0,0.9,2025-07-06
19,"Graphics feels like a slight downgrade from the Miles Morales game imo, while having way worse performance even now in July 2025. Really wanted to love this game but its either you play with 30fps unstable or you play with high fps and really bad textures and shading.",221,0,1.5,2025-07-06
20,See ya chump,10,1,3.3,2025-07-06
21,Very fun game lots to do but feels somewhat overwhelming,47,1,13.1,2025-07-06
22,w game,5,1,9.1,2025-07-06
23,very fun game yes,14,1,35.3,2025-07-06
24,Can't put my finger on it but it doesn't quite have the magic of the first one for me. Still a great game though.,90,1,3.0,2025-07-06
25,grest,5,1,26.1,2025-07-06
26,great,5,1,26.9,2025-07-06
27,"Product refunded

Error avx2.e ainda perdi meu dinheiro porque esses porcos nao devolve no pix cambada de porcos",96,0,0.3,2025-07-06
28,"Product refunded

i7 12th Gen and RTX 4080 and still a sh*t ton of stutters and graphical issues. The first game and Morales ran pretty good after a few patches but this game ran like a wet loaf of bread. Even with Ray tracing off and settings set to med/high, it still stumbled to 40fps with stutters. Nixxes needs to get their sh*t together",280,0,1.5,2025-07-06
29,"Just 100% completed the game.
It is a great game if you enjoyed playing the previous Spiderman games from insomniac.
However, if you want the game to look nice you will need a powerful PC and a good graphics card so check the recommended specs on the store page.
If you just enjoy the gameplay aspect of these games then go for it, my graphics card was below the recommended but i still enjoyed playing even though it didn't always look like an art piece.
Also you have 2 hours of game time (14 days of ownership) to check if you PC can handle it and if not you can refund it, steam is usually pretty good at that.",500,1,23.8,2025-07-06
30,if you got a good pc go for it,22,1,26.5,2025-07-06
31,"Do not attempt on steam deck, it runs so badly, looks awful",48,0,2.0,2025-07-06
32,great game,9,1,4.3,2025-07-06
33,It's like if they took the game spiderman 1 and then made a sequel to it.,58,1,137.7,2025-07-06
34,"Great game, OK port. (A couple weird graphical bugs and 2 full game freezes).
But my experience was nowhere near as bad as what other people have reported.
Game also worked great on the duelsense!",164,1,27.2,2025-07-06
35,Swinging through the city doing tricks into quick web-strike. Peak gameplay.,66,1,4.6,2025-07-06
36,Good story and combat mechanics. The twists were shocking but great. Always something to do in New York. Also a good soundtrack. Putting Miles and Peter's stories together this time was a good move,164,1,25.8,2025-07-06
37,Yass,4,1,18.8,2025-07-06
38,Controls are changalbe to match what you want good combat and story.,57,1,7.7,2025-07-05
39,"Poor performance, but a fantastic experience you can’t miss. I would highly recommend if you have a good pc. I would say skip if you have a low end pc or have high expectations for graphics and frame rate. The story is fantastic and the gameplay is smooth and addictive.",221,1,29.8,2025-07-06
40,"Product received for free

spiders but theyre men!",44,1,27.7,2025-07-05
41,runs fine on my 3070ti idk what everyone else complains about. Easily has the most content out of any other spiderman game and is actually my favorite in the franchise,138,1,32.2,2025-07-05
42,It was a bit overwhelming at the start since i haven't played the previous 2 games in a while but this definetly peaks it with new features and more than i asked for!,134,1,13.1,2025-07-05
43,Very bad optimization,19,0,11.8,2025-07-05
44,It's an amazing PS5 imported game.,29,1,0.4,2025-07-05
45,it fun,5,1,9.4,2025-07-05
46,this game is great with mods,23,1,12.4,2025-07-05
47,"Absolutely loved this game it's a great sequel that really builds on the gameplay of the first, although I didn't enjoy the story quite as much as the first game I still think this was a 10/10 story. If you haven't played this game you need to it is really great.",213,1,16.9,2025-07-05
48,"The game is fun... When it works

I've had the Game since early May and it ran fine for a few weeks. However, it randomly started crashing and freezing. The first time this happened was during a cut scene the audio continued playing, but the screen froze and the subtitles continued playing but were lagged out. Now the game will crash within at least half an hour of play time. My PC should run it fine, I've got a 9070xt, 48GB of RAM, A 7800X3D and a 2tb M.2 SSD. I'm not a particularly long way into the story because the game is unplayable. My CPU sits at 95%-100% usage the entire time I play it. It runs in 1440p with a mixture of high and ultra settings but just randomly freezes and it takes 15+ seconds for the game to even let me quit plus a further full minute for my PC to become usable again. No matter how many reports I seem to submit, nothing seems to be done about it. From the Steam Forums for the game I don't appear to be the only one with these problems, (if my memory serves correctly) people with RTX 5090s were also experiencing similar problems. It's not a graphics problem because I tried lowering settings to no avail and other games (like Black-myth Wukong) run at ""cinematic"" settings with max raytracing in native 1440p, (I also know this because for the 15-20 minutes it does run I have an average of 185 fps in spiderman 2). I don't know how to fix it so I've mostly avoided playing it, just checking up on it every few weeks.

I will update this comment if they patch this, because the game is otherwise worthwhile.",1259,0,10.7,2025-07-05
49,"Product refunded

I got this game and was super excited to play it. I played it for about 10/47 minutes that it was running. First, it took forever just for the initial cutscene to load. Then that cutscene was unskippable so I had to sit through a 5 minute video essentially. Then I got to play… for 30 seconds before being interrupted by yet another cutscene. There were probably 15 cutscenes in between “playing” the game. The tutorial took 37 minutes and that’s because about 27 seconds of those minutes were cutscenes. If I wanted to watch a Spider-Man movie, I would just watch it. I wanted to play a game, not watch a movie.
Also, the controls were not very intuitive. And I know you can change them, but that takes forever, and then you have to fix the controls that you replaced with the reassignments which just takes longer.
Unless you want to watch your video game, 2/10(graphics were good despite the cutscenes).",763,0,0.6,2025-07-05
50,Amazing or dare I say spectacular sequel! I'm so glad they made MJ's missions better. Can't wait for the next one.,94,1,24.4,2025-07-05
51,Very good I like it,15,1,7.5,2025-07-05
52,♥,1,1,27.4,2025-07-05
53,combat is fun and with a new parry mechanic. story is a bit lacking and falls apart the more you think about it.,90,1,51.2,2025-07-05
54,I like it and would recomend to ppl but the problem is rn for when i write this its not letting me play :/,83,1,14.8,2025-07-05
55,"The game’s great. Contrary to some of the other reviews, I didn’t run into any performance or technical issues during my playthrough.",112,1,23.5,2025-07-05
56,This game is good in some ways and bad in a lot in others honestly kinda mixed tbh.,66,1,14.3,2025-07-05
57,MJ is hot,7,1,23.4,2025-07-05
58,very fun espselly if you have little kids,34,1,444.6,2025-07-05
59,"Okay, Amazing game, Amazing story although it was a bit quick in my opinion. Seamless on SSD, wonderful experience.
I am running
rx 6600 + ryzen 5 3600 and it worked great. APART FROM THE CUTSCENES! SOME OF THE CUTSCENES WERE SO LAGGY IT WAS UNBEARABLE, other times it was running on a good 70-80 fps. Also first part of mysterio boss fight was laggy aswell. If somehow these part gets optimized itll become a 9/10 game.",346,1,29.3,2025-07-05
60,Great game play and great story!,27,1,10.8,2025-07-05
61,Definitely ruff around all the edges unless your running this with all the bells and whistles then don’t bother sad because I was looking forward to this one.,131,0,4.6,2025-07-05
62,exciting,8,1,14.5,2025-07-05
63,"Great game, better than Spider-Man MM while being on par if not way better than the first game.",78,1,6.9,2025-07-05
