Review Text,Review Length,Thumb Text,Play Hours,Date Posted
10 out of 10 game but MJ is the main reason why they haven't won game of the year yet.,67,Recommended,44.8 hrs on record,Posted: 6 July
best game ever,12,Recommended,16.1 hrs on record,Posted: 6 July
"this game is very good, is an anventure game i like it",43,Recommended,5.0 hrs on record,Posted: 6 July
not well optimized for now,22,Not Recommended,2.5 hrs on record,Posted: 6 July
cause,5,Recommended,7.2 hrs on record,Posted: 6 July
"Product refunded

♥♥♥♥♥♥ port",27,Not Recommended,0.5 hrs on record,Posted: 6 July
Super AMAZING Spider-Man Game,26,Recommended,4.3 hrs on record,Posted: 5 July
"I PLAYED THIS GAME
BUT I HAVE SOME ERROR ISSUES OFTENLY IT JUST CLOSES",58,Recommended,10.5 hrs on record,Posted: 5 July
"Terrible Performance, on top of characters doing glitch flips on my screen......",69,Not Recommended,2.4 hrs on record,Posted: 5 July
"don't buy it full price, it IS still kinda buggy and unoptimised (I had to use a slightly older driver version on a 9070xt to stop it crashing every 5 min lol), but ignore all the people who hype their mid range PC up as if it's a 5090 with 128GB of RAM and a 9800X3D who then reveal they have a xx60 card and likely the 8GB version. If that *is* your PC, RIP.

also there are multiple spider-gwen suit mods, it's peak.",337,Recommended,19.7 hrs on record,Posted: 6 July
"I was able to play as and I sent Miles to the backrooms in a single playthrough. Great PC port, Sony. LMAO",85,Recommended,21.3 hrs on record,Posted: July 6
very good game,12,Recommended,17.6 hrs on record,Posted: July 6
Good game. Buy. Yes. okay bye now.,28,Recommended,17.7 hrs on record,Posted: July 6
"Incredible game, you could almost say it was ""Amazing"" lol",49,Recommended,32.4 hrs on record,Posted: July 6
good,4,Recommended,9.1 hrs on record,Posted: July 6
"Amazing game, but insanely buggy on PC. Had peter loose his head for a big in a few cut scenes, tons of artifacts in cut scenes, and cap got stuck in body.

Outside of the bugs, absolutely amazing game, and amazing story!",181,Recommended,18.3 hrs on record,Posted: July 6
"my pc is the bare minimum to run this game, yes its probably only running at 40 fps and yes it did lag but thats cause im still on an i3 and too broke to upgrade everything right now and it still runs pretty okay
fun story, alot of things i didnt expect, way too pricey for a game that feels like just the bare minimum of content when we couldve had more to do.
8/10",293,Recommended,41.7 hrs on record,Posted: July 6
amazing game played on 3070ti had to play on medium graphics at 1080p and lemme tell you this is def a game that's gonna be nostalgic when i play it again 10 years later the story fire acting fire combat can get clunky sometimes but this game is amazing,205,Recommended,22.1 hrs on record,Posted: July 6
"I am so upset right now. The game won't work. My pc surpasses the recommended hardware (rtx 4060, ryzen 7 5800 something, 16gb ddr4 ram, 2 terabyte sdd harddrive) yet the game still can't get passed the first cinematic on low settings. I just got done playing through spider man remastered and miles morales really looking forward to playing spiderman 2 just for the game to not even allow me to get passed the first cinematic. I was absolutely praising how much of a masterpiece both spidermans were and now I can't even experience the newest one. If anyone has any recommendations on how to fix this game to run on my pc please tell me. Until then this game sucks.",546,Not Recommended,0.9 hrs on record,Posted: July 6
"Graphics feels like a slight downgrade from the Miles Morales game imo, while having way worse performance even now in July 2025. Really wanted to love this game but its either you play with 30fps unstable or you play with high fps and really bad textures and shading.",221,Not Recommended,1.5 hrs on record,Posted: July 6
See ya chump,10,Recommended,3.3 hrs on record,Posted: July 6
Very fun game lots to do but feels somewhat overwhelming,47,Recommended,13.1 hrs on record,Posted: July 6
w game,5,Recommended,9.1 hrs on record,Posted: July 6
very fun game yes,14,Recommended,35.3 hrs on record,Posted: July 6
Can't put my finger on it but it doesn't quite have the magic of the first one for me. Still a great game though.,90,Recommended,3.0 hrs on record,Posted: July 6
grest,5,Recommended,26.1 hrs on record,Posted: July 6
great,5,Recommended,26.9 hrs on record,Posted: July 6
"Product refunded

Error avx2.e ainda perdi meu dinheiro porque esses porcos nao devolve no pix cambada de porcos",96,Not Recommended,0.3 hrs on record,Posted: July 6
"Product refunded

i7 12th Gen and RTX 4080 and still a sh*t ton of stutters and graphical issues. The first game and Morales ran pretty good after a few patches but this game ran like a wet loaf of bread. Even with Ray tracing off and settings set to med/high, it still stumbled to 40fps with stutters. Nixxes needs to get their sh*t together",280,Not Recommended,1.5 hrs on record,Posted: July 6
